PMID	CUI	Preferred_name	sem_group	score
23313410	C0016529	Forced expiratory volume function	ortf	19.37
23313410	C0024109	Lung	bpoc	13.41
23313410	C0010674	Cystic Fibrosis	dsyn	11.49
23313410	C0001675	Adult	aggp	9.88
23313410	C0024115	Lung diseases	dsyn	6.91
23313410	C1836348	Severe disorder	fndg	3.78
23313410	C1306036	Forced expiratory volume procedure	diap	3.60
23313410	C1706450	Legal Adult	humn	3.57
23313410	C3273238	Regulatory Report	inpr	3.57
23313410	C0684224	Report (document)	inpr	3.57
23313410	C0700287	Reporting	hlca	3.57
23313410	C0809949	Admission activity	hlca	3.56
23313410	C0184666	Hospital admission	hlca	3.56
23313410	C2709248	Pulmonary (qualifier value)	qlco	3.56
23313410	C2707265	Pulmonary:-:Point in time:^Patient:-	clna	3.56
23313410	C4050466	Borg Category-Ratio 10 Perceived Exertion Score 5	inpr	3.48
23313410	C1278908	Entire lung	bpoc	3.48
23313410	C0205082	Severe (severity modifier)	qlco	3.48
23313410	C4050465	Severe Extremity Pain	inpr	3.48
23313410	C0819757	Structure of parenchyma of lung	tisu	3.48
23313410	C0205447	One	qnco	3.42
23313410	C1882327	Percent of Predicted Value	qnco	3.42
23313410	C1561503	Precision - second	idcn	3.42
23313410	C1705190	Second Suffix	qlco	3.42
23313410	C0565930	per second	qnco	3.42
23313410	C0681842	prediction	idcn	3.42
23313410	C0205436	second (number)	qnco	3.42
23313410	C0457385	seconds	tmco	3.42
23313410	C3264621	ivacaftor	orch	13.05
23313410	C3264621	ivacaftor	phsu	13.05
23313410	C1518422	Negation	ftcn	5.18
23313410	C0587438	Day hospital	hcro	3.75
23313410	C0587438	Day hospital	mnob	3.75
23313410	C2986411	Improvement	cnce	3.68
23313410	C0418981	Medical therapy	topp	3.61
23313410	C1272689	Started	qlco	3.59
23313410	C4049713	Borg Category-Ratio 10 Perceived Exertion Score 10	inpr	3.56
23313410	C1273870	Management procedure	ocac	3.56
23313410	C0205289	Maximal (qualifier value)	qlco	3.56
23313410	C0806909	Maximum	qnco	3.56
23313410	C1546944	Event Seriousness - Significant	qlco	3.50
23313410	C0750502	Significant	idcn	3.50
23313410	C0237881	Statistical Significance	qnco	3.50
23313410	C0020440	Hypercapnia	fndg	12.90
23313410	C0035245	Respiratory physiology	ortf	6.62
23313410	C1882327	Percent of Predicted Value	qnco	3.68
23313410	C0681842	prediction	idcn	3.68
23313410	C0369768	Molecular oxygen saturation	moft	3.61
23313410	C0483415	Oxygen saturation test result	orga	3.61
23313410	C0442805	Increase	ftcn	3.59
23313410	C1882115	Normalize	resa	3.57
23313410	C2986411	Improvement	cnce	3.56
23313410	C3846005	Room air	fndg	3.46
23313410	C1561566	FEV1 Adverse Event	fndg	3.45
23313410	C0429706	Forced expiratory volume in 1 second finding	fndg	3.45
23313410	C0849974	Pulmonary Function Test/Forced Expiratory Volume 1	diap	3.45
23313410	C1546944	Event Seriousness - Significant	qlco	3.43
23313410	C0750502	Significant	idcn	3.43
23313410	C0237881	Statistical Significance	qnco	3.43
23313410	C0024128	Lung Transplantation	topp	13.07
23313410	C3264621	ivacaftor	orch	12.89
23313410	C3264621	ivacaftor	phsu	12.89
23313410	C1524063	Use of	ftcn	3.61
23313410	C1516048	Assessed	acty	3.56
23313410	C0332152	Before	tmco	3.46
23313410	C0039798	therapeutic aspects	ftcn	45.07
23313410	C3264621	ivacaftor	orch	12.89
23313410	C3264621	ivacaftor	phsu	12.89
23313410	C0087111	Therapeutic procedure	topp	7.00
23313410	C0035245	Respiratory physiology	ortf	6.59
23313410	C0598463	Functional Status	fndg	5.18
23313410	C0750591	consider	idcn	5.18
23313410	C0205166	Long	qlco	3.98
23313410	C1706317	Long Variable	qlco	3.98
23313410	C1363945	Therapy Object (animal model)	fndg	3.56
23313410	C1547664	Diagnostic Radiology Modality	diap	3.54
23313410	C0695347	Modality	idcn	3.54
23313410	C0678226	Due to	ftcn	3.43
23313410	C0439231	month	tmco	3.43
23313410	C1533734	Administration procedure	topp	3.42
23313410	C1705169	Biomaterial Treatment	cnce	3.42
23313410	C2986411	Improvement	cnce	3.42
23313410	C1522326	Treating	ftcn	3.42
23313410	C3538994	Treatment Epoch	resa	3.42
23313410	C3887704	treatment - ActInformationManagementReason	hlca	3.42
24970923	C0298973	Ataxia Telangiectasia Mutated Proteins	aapp	25.54
24970923	C0298973	Ataxia Telangiectasia Mutated Proteins	enzy	25.54
24970923	C0014239	Endoplasmic Reticulum	celc	24.11
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	aapp	22.66
24970923	C0056889	Cystic Fibrosis Transmembrane Conductance Regulator	bacs	22.66
24970923	C0008203	Chlorides	inch	16.18
24970923	C0035280	Retention (Psychology)	menp	16.04
24970923	C0031843	physiological aspects	phsf	13.03
24970923	C0014139	Endocytosis	celf	11.49
